Type	sitesWithSW	perc	sitesWithSW-ads	perc
"News and Media"	1156	15.52928533	610	12.0696478
"Computers Electronics and Technology"	306	4.110693176	152	3.007518797
"TV Movies and Streaming"	187	2.512090274	93	1.840126632
"Fashion and Apparel"	167	2.243417517	59	1.167392165
"Programming and Developer Software"	135	1.813541107	63	1.246537396
"Adult" 	133	1.786673831	92	1.820340324
"Video Games Consoles and Accessories"	115	1.54486835		50
"Finance"	115	1.54486835	72	1.424614167
"Education"	104	1.397098334	41	0.811238623
"Arts and Entertainment"	100	1.343363783	42	0.831024931